feature,occurrence_count
same_srv_rate,20
srv_count,20
service_http,13
dst_host_srv_serror_rate,13
src_bytes,11
dst_host_same_srv_rate,11
wrong_fragment,10
dst_host_srv_count,8
service_imap4,8
land,8
dst_bytes,7
dst_host_rerror_rate,7
dst_host_diff_srv_rate,6
num_failed_logins,5
lnum_root,5
dst_host_same_src_port_rate,5
hot,5
logged_in,5
lroot_shell,4
diff_srv_rate,4
srv_rerror_rate,4
dst_host_serror_rate,3
lnum_shells,3
service_eco_i,3
dst_host_count,3
protocol_type_tcp,3
service_uucp,3
duration,3
flag_SH,3
service_urp_i,3
lnum_access_files,2
protocol_type_icmp,2
srv_serror_rate,2
service_urh_i,2
dst_host_srv_diff_host_rate,2
flag_RSTR,1
count,1
protocol_type_udp,1
service_smtp,1
