feature,occurrence_count
protocol_type_tcp,20
dst_host_same_src_port_rate,20
dst_host_srv_count,20
dst_host_same_srv_rate,20
flag_SF,17
dst_host_count,17
protocol_type_icmp,17
serror_rate,16
service_http,16
logged_in,16
protocol_type_udp,16
service_private,16
flag_S0,16
same_srv_rate,15
service_ecr_i,14
dst_host_serror_rate,14
srv_serror_rate,14
dst_host_srv_serror_rate,14
count,10
srv_count,7
srv_diff_host_rate,7
service_ftp,6
srv_rerror_rate,6
dst_host_rerror_rate,6
service_smtp,6
hot,6
dst_host_diff_srv_rate,6
rerror_rate,6
is_guest_login,6
service_other,6
flag_RSTR,5
dst_host_srv_rerror_rate,4
diff_srv_rate,4
flag_REJ,4
service_domain_u,4
flag_S1,3
flag_S3,3
wrong_fragment,3
service_ftp_data,3
flag_RSTO,2
service_vmnet,2
flag_S2,2
flag_RSTOS0,2
service_courier,2
dst_host_srv_diff_host_rate,2
service_urp_i,2
service_urh_i,2
service_uucp,2
service_uucp_path,2
flag_SH,2
flag_OTH,2
service_whois,2
src_bytes,1
lnum_compromised,1
lnum_root,1
service_iso_tsap,1
duration,1
