feature,occurrence_count
dst_host_srv_count,22
count,21
srv_count,19
protocol_type_icmp,17
service_private,15
dst_host_count,14
hot,13
dst_host_same_srv_rate,13
service_http,12
same_srv_rate,9
flag_SF,8
dst_host_serror_rate,8
flag_S0,6
logged_in,6
dst_host_same_src_port_rate,5
dst_host_rerror_rate,4
service_ftp,4
is_guest_login,4
srv_rerror_rate,4
dst_host_diff_srv_rate,3
service_ecr_i,3
serror_rate,2
wrong_fragment,2
dst_host_srv_serror_rate,1
rerror_rate,1
service_smtp,1
service_other,1
diff_srv_rate,1
srv_diff_host_rate,1
