feature,occurrence_count
count,6
service_http,5
dst_host_srv_count,5
src_bytes,5
dst_host_count,4
dst_bytes,3
dst_host_same_src_port_rate,3
service_telnet,2
flag_S0,2
dst_host_serror_rate,2
protocol_type_icmp,2
service_ecr_i,2
lroot_shell,2
same_srv_rate,2
duration,2
rerror_rate,2
wrong_fragment,2
service_finger,1
num_failed_logins,1
service_imap4,1
lnum_compromised,1
dst_host_srv_diff_host_rate,1
land,1
lnum_file_creations,1
lnum_access_files,1
lnum_shells,1
dst_host_srv_rerror_rate,1
dst_host_same_srv_rate,1
srv_count,1
dst_host_srv_serror_rate,1
service_private,1
logged_in,1
