feature,occurrence_count
service_http,22
logged_in,22
dst_host_srv_count,22
dst_host_count,21
service_ecr_i,21
dst_host_same_src_port_rate,20
srv_count,20
dst_host_serror_rate,19
dst_host_same_srv_rate,19
protocol_type_tcp,18
count,18
protocol_type_icmp,18
flag_SF,17
service_private,16
hot,15
is_guest_login,13
flag_S0,13
service_smtp,13
dst_host_srv_serror_rate,12
service_ftp,11
protocol_type_udp,11
service_domain_u,11
srv_serror_rate,10
dst_host_rerror_rate,8
same_srv_rate,7
service_other,6
dst_host_srv_rerror_rate,6
srv_rerror_rate,5
flag_REJ,5
dst_host_diff_srv_rate,4
service_ftp_data,4
serror_rate,4
duration,2
rerror_rate,2
src_bytes,1
flag_RSTR,1
diff_srv_rate,1
srv_diff_host_rate,1
wrong_fragment,1
