feature,occurrence_count
ct_src_ltm,10
tcprtt,10
ltime,10
synack,10
stime,10
dtcpb,10
ct_dst_src_ltm,10
sttl,10
smeansz,10
ct_state_ttl,10
dwin,10
ct_dst_sport_ltm,10
swin,10
dttl,10
ct_srv_dst,10
dmeansz,10
ct_srv_src,10
ct_dst_ltm,9
stcpb,7
ct_src_dport_ltm,6
ackdat,2
dload,2
sjit,2
trans_depth,2
