feature,occurrence_count
service_http,10
dst_host_same_src_port_rate,10
dst_host_same_srv_rate,9
same_srv_rate,8
logged_in,7
dst_host_count,6
service_private,6
dst_host_srv_count,6
protocol_type_icmp,5
protocol_type_tcp,4
service_ecr_i,4
flag_S0,4
hot,3
serror_rate,3
dst_host_srv_serror_rate,3
dst_host_rerror_rate,3
srv_count,3
srv_serror_rate,2
dst_host_srv_rerror_rate,2
dst_host_serror_rate,2
flag_SF,2
count,2
flag_REJ,1
dst_host_diff_srv_rate,1
protocol_type_udp,1
wrong_fragment,1
service_ftp,1
is_guest_login,1
